Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Psychological factors and future performance of football players: A systematic review with meta-analysis.","Psychological factors show small effects on future football performance, but due to high risk of bias, their role in player recruitment, retention, and release strategies remains uncertain.","A. Ivarsson, Amanda Kilhage-Persson, R. Martindale, D. Priestley, B. Huijgen, C. Ardern, A. McCall",2019,51,"","meta-analysis","Journal of science and medicine in sport","1","10.1016/j.jsams.2019.10.021","https://consensus.app/papers/psychological-factors-and-future-performance-of-football-ivarsson-kilhage-persson/7ad3cc17cdb45c82b95806888a31d981/"
"Research and application of constructing football training linear programming based on multiple linear regression equation","The technical and tactical ability of individuals and teams is the core competitive ability factor that affects the outcome of football matches, with 10 factor indicators having a significant effect on the result.","YinZhuang Bai, Aizhen Ren, A. Khadidos, M. Khder",2021,3,"Abstract Based on the factors affecting sports performance, from a more comprehensive and broad perspective, after consulting the literature, 52 factors that affect the outcome of football matches are selected, including technology, tactics, physical fitness and referees’ penalties. By watching the video of the game, 52 influencing factors of 200 games and 400 teams were counted. The original data was statistically processed with correlation analysis and multiple linear regression analysis, and the statistics of the 26 European Cup games were substituted into the winning formula. To verify the scientific nature and objectivity of the formula, we aim to ascertain the core factors in the winning factors of a football game and the quantitative relationship between these factors and the result of the game, so as to provide a certain reference for football training, game analysis and scientific research. The technical and tactical ability of individuals and teams is the core competitive ability factor that affects the result of the game; from a single factor, 15 factor indicators have a significant impact on the result of a football match; on the whole, 10 factor indicators have a significant effect on the result of a football match. In addition, there is a certain quantitative relationship between these influencing factors and the results of the game; empirical evidence shows that the football game winning formula has a certain degree of science and objectivity.","","Applied Mathematics and Nonlinear Sciences","3","10.2478/amns.2021.2.00063","https://consensus.app/papers/research-and-application-of-constructing-football-bai-ren/d40e3292c922560b89e1a67644ef10d0/"
"Factors affecting decision-making in Gaelic Football: a focus group approach","Expert Senior Gaelic football players have a more sophisticated understanding of information sources and can integrate them more complexly, while individual differences moderate the decision-making process.","Emma McLoughlin, David P. Broadbent, Noel P. Kinrade, Edward K. Coughlan, D. Bishop",2023,5,"Research examining decision-making in sports has predominantly used experimental approaches that fail to provide a holistic understanding of the various factors that impact the decision-making process. The current study aimed to explore the decision-making processes of Senior (expert) and Academy (near-expert) Gaelic Football players using a focus group approach. Four focus groups were conducted; two with Senior players (= 5;= 6) and two with U17 Academy players (= 5;= 6). In each focus group, short video clips of Senior Gaelic football games were played, and the action was paused at key moments. The group then discussed the options available to the player in possession, the decision they would make in that situation, and importantly, what factors influenced the final decision. Thematic analysis was used to identify themes that emerged from the focus groups. Four primary themes emerged that affected the decision-making process. Three themes were related to information sources, namely, pre-match context (coach tactics and instructions, match importance, and opposition status), current match context (score and time remaining), and visual information (player positioning and field space, and visual search strategy), and the fourth theme related to individual differences (self-efficacy, risk propensity, perceived pressure, physical characteristics, action capabilities, fatigue) that moderated the decision-making process. Compared to the near-expert Academy players, the expert Senior players displayed a more sophisticated understanding of the various sources of information and were able to integrate them in a more complex manner to make projections regarding future scenarios. For both groups, the decision-making process was moderated by individual differences. A schematic has been developed based on the study findings in an attempt to illustrate the hypothesized decision-making process.","non-rct experimental","Frontiers in Psychology","2","10.3389/fpsyg.2023.1142508","https://consensus.app/papers/factors-affecting-decisionmaking-in-gaelic-football-a-mcloughlin-broadbent/a75b2a0cefbf5f829af9b6e664f3aa35/"
"Examining the determinant factor of football technical skills","Better training motivation, physical fitness, and motor skills in football athletes lead to improved skill levels in mastering basic techniques.","P. Nurcahyo, Kusnandar Kusnandar, D. Budi, Arfin Deri Listiandi, Erwin O. Estrella, Mohhamad Ashraf Khan, M. Ghazi, Mazuki Mohd Yasim, M. Shahril",2025,2,"Introduction: Football sport has various factors that affect achievement, including physical condition, technique, tactics and mentality.
This study aims to examine Correlation between training motivation, physical fitness and motor educability with the level of football technical skills in football athletes.
The method utilized a correlational statistical quantitative method. The sample in this study was 14 football athletes. The measurement of Training Motivation was carried out using a questionnaire. Physical fitness using Vo2Max test. Motor educability measurement using motor tests. Measurement of football skills using a football skill test.
Data analyze is operating the SPSS 21 application to examine the normality and linearity of the data. A correlational test is utilized to determine a correlation among the variables.
The results revealed that the training motivation of football athletes displayed a score of 79.09 (good category). Physical fitness results showed an average score of 42.16 (good category). The motor educability results of football athletes display a score of 30.78 (good categories). The results of basic football technical skills scored 8.14 (good category). Conclusions: The better the athletes's training motivation, physical fitness, and motor skills, the better the skill level for mastering basic football techniques.","","Retos","2","10.47197/retos.v63.108206","https://consensus.app/papers/examining-the-determinant-factor-of-football-technical-nurcahyo-kusnandar/6b2042ddde3d55f0aa3cf0840b17d3ef/"
"Psychological determinants of performance in women's football: a systematic review on resilience, anxiety, motivation and cohesion","Coaching strategies that foster a positive motivational climate and incorporate mental skills training can enhance psychological resilience, motivation, and performance outcomes in women's football.","Javier Ventaja-Cruz, J. M. Cuevas Rincón, Virginia Tejada-Medina, Ricardo Martín-Moya",2025,1,"Introduction: Over the past decade, women's football has gained significant visibility, leading to increased attention on the psychological factors that influence players' performance. Mental toughness is identified as a key trait that allows athletes to remain focused and resilient in high-pressure environments.
Objective: This systematic review aims to analyze the psychological determinants of performance in young women's football, focusing on mental toughness, anxiety management, motivation, and team cohesion.
Methodology: This review followed PRISMA guidelines and systematically searched four databases (PubMed, ProQuest, SCOPUS, FECYT) for articles published before October 1, 2024. The PICO framework was applied to define the research question, and data were extracted into an Excel spreadsheet, a total of 11 articles met all the inclusion criteria and were included in the final qualitative synthesis.
Results: anxiety is explored in five studies, highlighting its physiological and psychological effects on performance and its predictors in elite athletes; resilience is examined in three studies, focusing on how young female athletes adapt to adversity to enhance performance and life skills; motivation is the subject of six studies, emphasizing intrinsic and extrinsic factors driving engagement, performance, and social influences in sports; and team cohesion is analyzed in two studies, illustrating its role in fostering better performance perceptions and group dynamics.
Conclusions: Coaching strategies that foster a positive motivational climate and incorporate mental skills training can enhance psychological resilience, motivation, and performance outcomes.","systematic review","Retos","2","10.47197/retos.v64.111614","https://consensus.app/papers/psychological-determinants-of-performance-in-womens-ventaja-cruz-rinc%C3%B3n/9ca24242e4ce56cd9a2f561ac8f170a2/"
"Tactical Situations and Playing Styles as Key Performance Indicators in Soccer","Adopting possession style, counterattacking during offensive transitions, and a balanced aggressive defensive strategy significantly increase a team's chances of victory in soccer matches.","Spyridon Plakias, Themistoklis Tsatalas, Vasileios Armatas, Dimitris Tsaopoulos, Giannis Giakas",2024,18,"The game of soccer is complex and unpredictable, demanding multifaceted strategies for success. Performance analysis has evolved, focusing on key performance indicators (KPIs) to determine the factors that most significantly influence a team's success or failure during matches. Traditional performance analysis methods have emphasized quantifiable data like physical exertion and basic play events but often neglected the subtler tactical dimensions that could significantly impact game outcomes. This study aimed to fill the gap in the current literature by creating a comprehensive framework that incorporates tactical situations as KPIs. The objective was to examine whether specific playing styles adopted by teams in various tactical situations and phases of the game could predict the outcome of matches. A dataset comprising all First Division Championship matches from 11 different European countries for the 2021-2022 season was analyzed. Variables representing tactical situations were correlated with match outcomes using a Generalized Estimating Equation framework. The model was specified with a binomial distribution and a logit link function. Statistical significance was determined using Wald χtests with a significance level set at< 0.05. The study's findings revealed that possession style, counterattacking during offensive transitions, and a balanced aggressive defensive strategy significantly increase a team's chances of victory. It also showed that successful teams tend to focus on central attacks, minimize crossing, and execute strategic plays that lead to final attempts on goal with minimal ball possession. The above findings demonstrate that adopting certain tactical approaches significantly influences soccer match outcomes, highlighting the importance of considering tactical aspects as KPIs.","","Journal of Functional Morphology and Kinesiology","1","10.3390/jfmk9020088","https://consensus.app/papers/tactical-situations-and-playing-styles-as-key-performance-plakias-tsatalas/8ce529199611598abed7cf092ae64bd5/"
"Factors Affecting Physical and Technical Performance in Australian Football","Player factors, such as lower-body strength and power, and aerobic fitness, have the largest impact on physical and technical performance in Australian football.","Chris Wing, Nicolas H. Hart, Fadi Ma’ayah, K. Nosaka",2023,0,"Wing, C, Hart, NH, Ma'ayah, F, and Nosaka, K. Factors affecting physical and technical performance in Australian football. J Strength Cond Res 37(9): 1844-1851, 2023-This study assessed player (i.e., lower-body strength and power and aerobic fitness) and environmental (e.g., venue) factors and their effects on the physical (e.g., distance) and technical (e.g., kicks) demands of Australian football (AF). Relative distance, high-speed running (HSR), and acceleration efforts for 19 matches by 33 players in a West AF League team were analyzed from global positioning system data split into periods of successful offense and defense and maximum ball in play (BiP) periods, as well as technical actions. Lower-body strength and power, and aerobic fitness were evaluated using a one-repetition trap-bar deadlift, countermovement jump, 2-km time trial, and Yo-Yo intermittent fitness test, respectively. In matches played at home, distance (p < 0.001, ES = 0.39) and HSR (p < 0.001, ES = 0.34) were significantly reduced during successful defense. In addition, tackle rate was significantly increased (p = 0.003, ES = 0.16) during successful defense when playing at home. Trap-bar deadlift relative to mass significantly increased relative distance (p = 0.004, ES = 0.51) and HSR (p = 0.029, ES = 0.40) in successful offense. In successful defense, superior time trial performance significantly increased relative distance (p < 0.001, ES = 0.58), HSR (p < 0.001, ES = 0.59), and acceleration efforts (p = 0.017, ES = 0.44), while relative distance (p < 0.001, ES = 0.62) and HSR (p = 0.004, ES = 0.52) were also increased during maximum BiP periods. The results demonstrate that player factors have the largest effect on the physical and technical performance of AF players.","non-rct experimental","Journal of Strength and Conditioning Research","1","10.1519/jsc.0000000000004454","https://consensus.app/papers/factors-affecting-physical-and-technical-performance-in-wing-hart/15673173b38c51728b5e7a49b2a83083/"
"Psychological factors and performance in women’s football: A systematic review","Higher levels of mental toughness, conscientiousness, and executive functions, and lower anxiety levels, are associated with improved performance and perceived competence in women's football.","Susann Dahl Pettersen, F. Adolfsen, M. Martinussen",2021,36,"The amount of research conducted on female football players, compared to male players, is sparce. Even though research on female football players has increased the past decade, there is still a lack of studies of how psychological factors affect their performance. The objective of the current systematic review was therefore to summarize existing quantitative research into the relationship between psychological factors and performance in women's football. Literature was sourced from MEDLINE/PubMed, Embase, and PsychInfo. Two independent reviewers applied the selection criteria and assessed the quality of the studies. A total of 14 studies met the inclusion criteria. The total number of participants was 1449, and 15 psychological factors were examined in relation to football performance. The results revealed a tendency for higher leveled players to score higher on psychological factors like mental toughness, conscientiousness, and executive functions. They also had lower levels of anxiety. Enjoyment and a perceived mastery climate were related to increased levels of performance and perceived competence. Mood was unrelated to performance. Limitations and implications for future research are discussed.","systematic review","Scandinavian Journal of Medicine & Science in Sports","1","10.1111/sms.14043","https://consensus.app/papers/psychological-factors-and-performance-in-women-%E2%80%99-s-pettersen-adolfsen/650e9080f3075ff282c4fa25fde747a8/"
"Optimising Game Tactics for Football","Our novel approach optimizes football tactics, increasing a team's chances of winning by up to 16.1% and 3.4% using Bayesian and stochastic games.","Ryan Beal, G. Chalkiadakis, T. Norman, S. Ramchurn",2020,20,"In this paper we present a novel approach to optimise tactical and strategic decision making in football (soccer). We model the game of football as a multi-stage game which is made up from a Bayesian game to model the pre-match decisions and a stochastic game to model the in-match state transitions and decisions. Using this formulation, we propose a method to predict the probability of game outcomes and the payoffs of team actions. Building upon this, we develop algorithms to optimise team formation and in-game tactics with different objectives. Empirical evaluation of our approach on real-world datasets from 760 matches shows that by using optimised tactics from our Bayesian and stochastic games, we can increase a team chances of winning by up to 16.1% and 3.4% respectively.","","","","10.65109/qarg5564","https://consensus.app/papers/optimising-game-tactics-for-football-beal-chalkiadakis/ad6da365116a5d3487f19d9fe1f95162/"
"Training load and technical performance","There is no clear relationship between team training load indicators and team technical performance in amateur adult football.","Michael Webb",2024,0,"Physical training methods implemented by strength and conditioning coaches within team sport environments are becoming more methodical and advanced with the growth of sport. To better prepare their athletes, it is becoming increasingly important for practitioners to understand how these methods impact technical, tactical, and psychological components of team performance. The aim of this thesis was to identify and understand any patterns between physical and technical performance within the sport of football. A systematic review of current literature highlighted the common game-related statistics analysed in football (soccer) and the training load indicators collected alongside them. The review also identified the most relevant game-related statistics and training load indicators for sport scientists to utilise in football. The review revealed the lack of research on the relationship between physical and technical performance in team sports. The main study of this thesis was an observational study with the focus on the changes in team training load indicators and their influence on amateur adult football team technical performance. The results of this study demonstrated that there was no clear relationship between team training load indicators and team technical performance. It is suggested by the researcher for future investigations to incorporate individualised metrics of physical and technical performance when attempting to understand the relationship between these components. The results of this thesis reinforce the concept of performance in team sport being a complex system, with various influential factors on match outcomes. Further research is needed to understand the influences between training load and technical performance.","systematic review","","","10.34074/thes.6514","https://consensus.app/papers/training-load-and-technical-performance-webb/04d2aaaa1c9550ccac4ba9c4674a1f8b/"
